
Language Region: 0 1114 English
Entity	Type
Kurd	NATIONALITY
Turkish	NATIONALITY
DOHUK , Iraq	LOCATION
1996-08-23	TEMPORAL:DATE
Turkish	NATIONALITY
Kurd	NATIONALITY
Friday	TEMPORAL:DATE
Turkish	NATIONALITY
Iraq	LOCATION
Islamist	RELIGION
Kurdistan Workers Party	ORGANIZATION
PKK	ORGANIZATION
Riza Altun	PERSON
Iraqi	NATIONALITY
Dohuk	LOCATION
PKK	ORGANIZATION
Turkey	LOCATION
Islamist	RELIGION
writer	TITLE
Ismail Nacar	PERSON
Prime Minister	TITLE
Necmettin Erbakan	PERSON
Turkey	LOCATION
Kurdish	NATIONALITY
Erbakan	PERSON
Nacar	PERSON
PKK	ORGANIZATION
Iraq	LOCATION
Turkey	LOCATION
12 years	TEMPORAL:TIME
Turkish	NATIONALITY
