
Language Region: 0 1157 English
Entity	Type
Egypt	LOCATION
Istanbul	LOCATION
CAIRO	LOCATION
1996-08-22	TEMPORAL:DATE
chairman	TITLE
EgyptAir	ORGANIZATION
Thursday	TEMPORAL:DATE
Istanbul	LOCATION
EgyptAir	ORGANIZATION
Wednesday	TEMPORAL:DATE
EgyptAir	ORGANIZATION
Boeing 707	PRODUCT
Chairman	TITLE
Mohamed Fahim Rayyan	PERSON
Cairo	LOCATION
2,460 yards	IDENTIFIER:DISTANCE
3,300 yards	IDENTIFIER:DISTANCE
Turkish	NATIONALITY
Turkish	NATIONALITY
EgyptAir	ORGANIZATION
Turkish	NATIONALITY
Ihlas	ORGANIZATION
English	NATIONALITY
