
Language Region: 0 1259 English
Entity	Type
Guinness Peat	ORGANIZATION
SYDNEY	LOCATION
1996-08-28	TEMPORAL:DATE
British	NATIONALITY
Guinness Peat Group Plc	ORGANIZATION
GPG	ORGANIZATION
Wednesday	TEMPORAL:DATE
GPG	ORGANIZATION
director	TITLE
Garry Weiss	PERSON
GPG	ORGANIZATION
six months	TEMPORAL:TIME
June 30	TEMPORAL:DATE
Weiss	PERSON
Australian	NATIONALITY
first six months	TEMPORAL:TIME
Weiss	PERSON
Insurance Co of Ohio	ORGANIZATION
U.S.	LOCATION
GPG	ORGANIZATION
Tyndall Australia Ltd	ORGANIZATION
Mid-East Minerals Ltd	ORGANIZATION
GPG	ORGANIZATION
Sydney	LOCATION
