
Language Region: 0 988 English
Entity	Type
1996-08-26	TEMPORAL:DATE
Hungarian	NATIONALITY
Stadler	PERSON
Ujpest TE 3 3	PRODUCT
10 2 9	TEMPORAL:DATE
10 4 6	TEMPORAL:DATE
FTC	ORGANIZATION
3 2 - 1 8 7 6 7	PRODUCT
3 1 1 1 7 5	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 3 3	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 6 7	IDENTIFIER:LATITUDE_LONGITUDE
Gyor 3 1 1 1 3 5 4	PRODUCT
2 3 10	TEMPORAL:DATE
Stadler	PERSON
1 2 2 6 1 16	IDENTIFIER:LATITUDE_LONGITUDE
1 2 2 7 1 17	IDENTIFIER:LATITUDE_LONGITUDE
Vac 3 - - 3 2 8	PRODUCT
Parmalat	ORGANIZATION
Fehervar FC	PERSON
Videoton	LOCATION
Budapest	LOCATION
+361 266 2410	IDENTIFIER:PHONE_NUMBER
