
Language Region: 0 666 English
Entity	Type
PARIS	LOCATION
1996-08-24	TEMPORAL:DATE
French	NATIONALITY
Saturday	TEMPORAL:DATE
3 3 0 0 6 1	IDENTIFIER:LATITUDE_LONGITUDE
3 2 1 0 4 1	IDENTIFIER:LATITUDE_LONGITUDE
3 2 1 0 3 0	IDENTIFIER:LATITUDE_LONGITUDE
3 2 1 0 3 0	IDENTIFIER:LATITUDE_LONGITUDE
Cannes	LOCATION
3 2 1 0 4 2	IDENTIFIER:LATITUDE_LONGITUDE
3 2 0 1 4 3	IDENTIFIER:LATITUDE_LONGITUDE
3 1 2 0 2 1	IDENTIFIER:LATITUDE_LONGITUDE
Monaco	LOCATION
3 1 1 1 5 3	IDENTIFIER:LATITUDE_LONGITUDE
Marseille	LOCATION
3 1 1 1 5 4	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 3 3	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 4 4	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 2 2	IDENTIFIER:LATITUDE_LONGITUDE
3 1 0 2 4 6	IDENTIFIER:LATITUDE_LONGITUDE
Strasbourg	LOCATION
3 1 0 2 1 3	IDENTIFIER:LATITUDE_LONGITUDE
3 0 2 1 1 2	IDENTIFIER:LATITUDE_LONGITUDE
Nantes	LOCATION
3 0 1 2 2 5	IDENTIFIER:LATITUDE_LONGITUDE
3 0 1 2 2 5	IDENTIFIER:LATITUDE_LONGITUDE
3 0 1 2 2 5	IDENTIFIER:LATITUDE_LONGITUDE
3 0 1 1 1 3	IDENTIFIER:LATITUDE_LONGITUDE
3 0 1 2 1 5	IDENTIFIER:LATITUDE_LONGITUDE
