
Language Region: 0 1311 English
Entity	Type
NATO	ORGANIZATION
Serb	NATIONALITY
NATO	ORGANIZATION
1996-08-29	TEMPORAL:DATE
NATO	ORGANIZATION
Bosnian Serb	NATIONALITY
Thursday	TEMPORAL:DATE
Mahala	LOCATION
Serb	NATIONALITY
Zvornik	LOCATION
NATO	ORGANIZATION
Lieutenant Colonel	TITLE
Max Marriner	PERSON
Reuters	ORGANIZATION
NATO	ORGANIZATION
Bosnian Serb	NATIONALITY
Thursday	TEMPORAL:DATE
Moslem	RELIGION
Mahala	LOCATION
Serb	NATIONALITY
Bosnia	LOCATION
NATO	ORGANIZATION
Serbs	NATIONALITY
Serb	NATIONALITY
U.N.	ORGANIZATION
Zvornik	LOCATION
Mahala	LOCATION
Marriner	PERSON
NATO	ORGANIZATION
Serbs	NATIONALITY
Zvornik	LOCATION
Mahala	LOCATION
35 minutes	TEMPORAL:TIME
Zvornik	LOCATION
Marriner	PERSON
