
Language Region: 0 1986 English
Entity	Type
U.S.	LOCATION
Cuba	LOCATION
WASHINGTON	LOCATION
1996-08-22	TEMPORAL:DATE
United States	LOCATION
Thursday	TEMPORAL:DATE
Cuba	LOCATION
Cuban	NATIONALITY
U.S.	LOCATION
State Department	ORGANIZATION
Cuban	NATIONALITY
Washington	LOCATION
Cubans	NATIONALITY
United States	LOCATION
Glyn Davies	PERSON
United States	LOCATION
Cuban	NATIONALITY
United States	LOCATION
Guantanamo Naval Base	LOCATION
Washington	LOCATION
Cuba	LOCATION
Davies	PERSON
Cuban	NATIONALITY
Miami	LOCATION
Cuba	LOCATION
Florida	LOCATION
Havana	LOCATION
Florida	LOCATION
Cuba	LOCATION
Cuba	LOCATION
United States	LOCATION
Guantanamo Bay	LOCATION
U.S.	LOCATION
Cuba	LOCATION
Friday	TEMPORAL:DATE
Davies	PERSON
Tuesday	TEMPORAL:DATE
Cuba	LOCATION
U.S.	LOCATION
July 7	TEMPORAL:DATE
Cuban	NATIONALITY
interior ministry	ORGANIZATION
Guantanamo Bay	LOCATION
Davies	PERSON
Cuba	LOCATION
