
Language Region: 0 2085 English
Entity	Type
Queensland	LOCATION
1996-08-28	TEMPORAL:DATE
Australian	NATIONALITY
Wednesday	TEMPORAL:DATE
2030 GMT	TEMPORAL:TIME
Tuesday	TEMPORAL:DATE
Glenwood	LOCATION
Maryborough	LOCATION
150 km	IDENTIFIER:DISTANCE
93 miles	IDENTIFIER:DISTANCE
Brisbane	LOCATION
Queensland	LOCATION
William Fox	PERSON
Tuesday	TEMPORAL:DATE
16-year	TEMPORAL:TIME
Fox	PERSON
Fox	PERSON
Glenwood	LOCATION
Fox	PERSON
Australia	LOCATION
Tasmania	LOCATION
April 28	TEMPORAL:DATE
Port Arthur	LOCATION
