
Language Region: 0 2801 English
Entity	Type
Arab	NATIONALITY
Israel	LOCATION
Ori Lewis TAIBE	PERSON
Israel	LOCATION
1996-08-23	TEMPORAL:DATE
Israeli	NATIONALITY
Arab	NATIONALITY
National League	ORGANIZATION
Saturday	TEMPORAL:DATE
Taibe	LOCATION
Jewish	RELIGION
Pole	LOCATION
Romanian	NATIONALITY
Moslem	RELIGION
Arabs	NATIONALITY
Taibe	LOCATION
Arab	NATIONALITY
Israel	LOCATION
Jerusalem	LOCATION
Taibe	LOCATION
Karem Haj Yihye	PERSON
Two weeks	TEMPORAL:TIME
Taibe	LOCATION
Pole Wojtek Lazarek	PERSON
Likud	ORGANIZATION
Jerusalem	LOCATION
Arabs	NATIONALITY
Taibe	LOCATION
Arabs	NATIONALITY
Sameh Haj Yihye	PERSON
Taibe	LOCATION
Jerusalem	LOCATION
Hebrew University	ORGANIZATION
Taibe	LOCATION
Jewish	RELIGION
Israeli	NATIONALITY
Arabs	NATIONALITY
Tel Aviv	LOCATION
60 km	IDENTIFIER:DISTANCE
36 miles	IDENTIFIER:DISTANCE
Sameh Haj Yihye	PERSON
chairman	TITLE
Abdul Rahman Haj Yihye	PERSON
mayor	TITLE
Taibe	LOCATION
Jewish	RELIGION
Netanya	LOCATION
Israelis	NATIONALITY
Karem Haj Yihye	PERSON
Palestinians	NATIONALITY
West Bank	LOCATION
seven km	IDENTIFIER:DISTANCE
four miles	IDENTIFIER:DISTANCE
Palestinian	NATIONALITY
Arabs	NATIONALITY
chairman	TITLE
Abdul Rahman	PERSON
Arab world	LOCATION
