
Language Region: 0 1648 English
Entity	Type
Nepal	LOCATION
Maoist	ORGANIZATION
Gopal Sharma	PERSON
1996-08-27	TEMPORAL:DATE
Nepal	LOCATION
Maoist	ORGANIZATION
Nepal	LOCATION
Tuesday	TEMPORAL:DATE
Maoists	ORGANIZATION
communist	ORGANIZATION
Nepali	NATIONALITY
Minister	TITLE
Khum Bahadur Khadga	PERSON
Maoist	ORGANIZATION
February	TEMPORAL:DATE
Nepali	NATIONALITY
parliament	ORGANIZATION
Tuesday	TEMPORAL:DATE
Khadga	PERSON
Maoist	ORGANIZATION
parliament	ORGANIZATION
Monday	TEMPORAL:DATE
United People's Front Nepal ( Bhattarai	ORGANIZATION
Maoist	ORGANIZATION
Maoist	ORGANIZATION
Khadga	PERSON
Nepal	LOCATION
six years	TEMPORAL:TIME
Nepali	NATIONALITY
Congress	ORGANIZATION
Nepali	NATIONALITY
Congress	ORGANIZATION
