
Language Region: 0 831 English
Entity	Type
RTRS - Niugini	ORGANIZATION
SYDNEY	LOCATION
1996-08-23	TEMPORAL:DATE
gold	PRODUCT
Niugini Mining Ltd	ORGANIZATION
$ 3.75	IDENTIFIER:MONEY
Friday	TEMPORAL:DATE
Thursday	TEMPORAL:DATE
Battle Mountain Gold	ORGANIZATION
Niugini Mining Ltd	ORGANIZATION
Thursday	TEMPORAL:DATE
Battle Mountain	ORGANIZATION
Battle Mountain	ORGANIZATION
Sydney	LOCATION
gold	PRODUCT
Australia	LOCATION
Chile	LOCATION
Papua New Guinea	LOCATION
Lihir	ORGANIZATION
gold	PRODUCT
0025 GMT	TEMPORAL:TIME
Niugini Mining	ORGANIZATION
$ 3.65	IDENTIFIER:MONEY
Sydney	LOCATION
