
Language Region: 0 1219 English
Entity	Type
German	NATIONALITY
Bosnia	LOCATION
Ruehe	PERSON
1996-08-24	TEMPORAL:DATE
Defence Minister	TITLE
Volker Ruehe	PERSON
German	NATIONALITY
Bosnia	LOCATION
Saturday	TEMPORAL:DATE
NATO	ORGANIZATION
IFOR	ORGANIZATION
Bosnia	LOCATION
Ruehe	PERSON
Bild	ORGANIZATION
December	TEMPORAL:DATE
Bosnian	NATIONALITY
September 14	TEMPORAL:DATE
October	TEMPORAL:DATE
Ruehe	PERSON
defence ministers	TITLE
September	TEMPORAL:DATE
NATO	ORGANIZATION
Sunday	TEMPORAL:DATE
Yugoslavia	LOCATION
