
Language Region: 0 1685 English
Entity	Type
U.S.	LOCATION
White Wheat	ORGANIZATION
CHICAGO	LOCATION
1996-08-27	TEMPORAL:DATE
Tuesday	TEMPORAL:DATE
Montana	LOCATION
North Dakota	LOCATION
Monday	TEMPORAL:DATE
White Chg	ORGANIZATION
MINNESOTA Minneapolis 5.06	PRODUCT
Duluth	LOCATION
NORTH DAKOTA Hunter ( Red River	ORGANIZATION
HRW	ORGANIZATION
White Chg	ORGANIZATION
Billings MT 4.62	PRODUCT
Havre MT 4.54	PRODUCT
Rudyard MT 4.54	PRODUCT
Wolf Point	ORGANIZATION
MT 4.41	PRODUCT
Portland	LOCATION
City WA	LOCATION
Waterville WA	LOCATION
Wenatchee WA	LOCATION
Chicago	LOCATION
312-408-8720	IDENTIFIER:PHONE_NUMBER
