
Language Region: 0 4072 English
Entity	Type
Dow	ORGANIZATION
London	LOCATION
Peter Griffiths	PERSON
LONDON	LOCATION
1996-08-28	TEMPORAL:DATE
Wall Street	LOCATION
London	LOCATION
Wednesday	TEMPORAL:DATE
German	NATIONALITY
Paris	LOCATION
Japanese	NATIONALITY
London	LOCATION
Wall Street	LOCATION
FTSE 100	ORGANIZATION
British Airways	ORGANIZATION
U.S. Transportation Department	ORGANIZATION
British	NATIONALITY
American Airlines	ORGANIZATION
U.S	LOCATION
British	NATIONALITY
EU	LOCATION
July	TEMPORAL:DATE
$ 788 million	IDENTIFIER:MONEY
June	TEMPORAL:DATE
German	NATIONALITY
DAX	ORGANIZATION
French	NATIONALITY
CAC-40	ORGANIZATION
Louis Viannet	PERSON
France	LOCATION
Communist	ORGANIZATION
CGT	ORGANIZATION
Wednesday	TEMPORAL:DATE
France	LOCATION
Wall Street	LOCATION
Paris	LOCATION
European	NATIONALITY
European	NATIONALITY
Tuesday	TEMPORAL:DATE
Bank of Japan	ORGANIZATION
Japanese	NATIONALITY
Japanese	NATIONALITY
BOJ	ORGANIZATION
a year	TEMPORAL:TIME
BOJ	ORGANIZATION
Japanese	NATIONALITY
currency economist	TITLE
Klaus Baader	PERSON
June	TEMPORAL:DATE
1500 GMT	TEMPORAL:TIME
Tuesday	TEMPORAL:DATE
European	NATIONALITY
1500 GMT	TEMPORAL:TIME
The Financial Times-Stock Exchange	ORGANIZATION
British	NATIONALITY
Paris	LOCATION
CAC-40	ORGANIZATION
DAX	ORGANIZATION
Frankfurt	LOCATION
$ 388.50	IDENTIFIER:MONEY
Tuesday	TEMPORAL:DATE
London	LOCATION
$ 388.55	IDENTIFIER:MONEY
$ 1	IDENTIFIER:MONEY
