
Language Region: 0 1467 English
Entity	Type
NINE-MONTH	TEMPORAL:TIME
GENEVA	LOCATION
1996-08-27	TEMPORAL:DATE
Swiss	ORGANIZATION
Neuchatel Xamax	ORGANIZATION
Tuesday	TEMPORAL:DATE
nine-month	TEMPORAL:TIME
French	NATIONALITY
Jean-Pierre Cyprien	PERSON
Cyprien	PERSON
Swiss	ORGANIZATION
$ 8,400	IDENTIFIER:MONEY
St Gallen	LOCATION
Brazilian	NATIONALITY
Claudio Moura	PERSON
Saturday	TEMPORAL:DATE
Cyprien	PERSON
Moura	LOCATION
St Gallen	LOCATION
coach	TITLE
Roger Hegi	PERSON
Moura	LOCATION
Cyprien	PERSON
Neuchatel	ORGANIZATION
$ 840	IDENTIFIER:MONEY
Swiss	ORGANIZATION
president	TITLE
Gilbert Facchinetti	PERSON
Neuchatel	ORGANIZATION
coach	TITLE
Gilbert Gress	PERSON
Moura	LOCATION
Moura	LOCATION
Cyprien	PERSON
Gress	PERSON
Moura	LOCATION
Cyprien	PERSON
French	NATIONALITY
Italy	LOCATION
February 1994	TEMPORAL:DATE
Switzerland	LOCATION
