
Language Region: 0 1029 English
Entity	Type
Spaniards	NATIONALITY
Basque	NATIONALITY
MADRID	LOCATION
1996-08-24	TEMPORAL:DATE
Spaniards	NATIONALITY
Basque	NATIONALITY
ETA	ORGANIZATION
El Mundo	ORGANIZATION
Saturday	TEMPORAL:DATE
ETA	ORGANIZATION
Basque	NATIONALITY
Homeland	ORGANIZATION
Freedom	ORGANIZATION
Centre for Sociological Studies	ORGANIZATION
CIS	ORGANIZATION
ETA	ORGANIZATION
Basque	NATIONALITY
one-week	TEMPORAL:TIME
July	TEMPORAL:DATE
Jose Antonio Ortega Lara	PERSON
January	TEMPORAL:DATE
Popular Party	ORGANIZATION
PP	ORGANIZATION
July 17	TEMPORAL:DATE
