
Language Region: 0 827 English
Entity	Type
Massachusetts	LOCATION
July	TEMPORAL:DATE
BOSTON	LOCATION
1996-08-27	TEMPORAL:DATE
Massachusetts	LOCATION
July	TEMPORAL:DATE
a month	TEMPORAL:TIME
Massachusetts Association of Realtors	ORGANIZATION
July	TEMPORAL:DATE
June	TEMPORAL:DATE
$ 206,464	IDENTIFIER:MONEY
July 1995	TEMPORAL:DATE
July	TEMPORAL:DATE
$ 123,394	IDENTIFIER:MONEY
July	TEMPORAL:DATE
30-year	TEMPORAL:TIME
June	TEMPORAL:DATE
February	TEMPORAL:DATE
Boston	LOCATION
617-367-4106	IDENTIFIER:PHONE_NUMBER
