
Language Region: 0 1509 English
Entity	Type
Gazprom	ORGANIZATION
MOSCOW	LOCATION
1996-08-29	TEMPORAL:DATE
Russian	NATIONALITY
RAO	ORGANIZATION
Gazprom	ORGANIZATION
Thursday	TEMPORAL:DATE
a week	TEMPORAL:TIME
Federal Securities Corporation	ORGANIZATION
FFK	ORGANIZATION
FFK	ORGANIZATION
Gazprom	ORGANIZATION
FFK	ORGANIZATION
Gazprom	ORGANIZATION
Gazprom	ORGANIZATION
Russia	LOCATION
Gazprom	ORGANIZATION
March 6	TEMPORAL:DATE
Russian	NATIONALITY
Gazprom	ORGANIZATION
Thursday	TEMPORAL:DATE
$ 0.375	IDENTIFIER:MONEY
$ 0.300	IDENTIFIER:MONEY
Artyom Danielyan	PERSON
Moscow Newsroom	ORGANIZATION
