
Language Region: 0 1252 English
Entity	Type
COMEX	ORGANIZATION
NEW YORK	LOCATION
1996-08-28	TEMPORAL:DATE
Codelco	ORGANIZATION
Salvador	LOCATION
Chile	LOCATION
Friday	TEMPORAL:DATE
LME	ORGANIZATION
Tuesday	TEMPORAL:DATE
U.K.	LOCATION
Monday	TEMPORAL:DATE
LME	ORGANIZATION
William O'Neill	PERSON
Merrill Lynch	ORGANIZATION
December	TEMPORAL:DATE
September	TEMPORAL:DATE
August	TEMPORAL:DATE
Salvador	LOCATION
Saturday	TEMPORAL:DATE
Salvador	LOCATION
O'Neill	PERSON
Huw Jones	PERSON
New York Commodities	ORGANIZATION
212-859-1646	IDENTIFIER:PHONE_NUMBER
