
Language Region: 0 2525 English
Entity	Type
Gulf	LOCATION
India	LOCATION
DUBAI	LOCATION
1996-08-29	TEMPORAL:DATE
India	LOCATION
Middle East Gulf	LOCATION
Thursday	TEMPORAL:DATE
$ 1	IDENTIFIER:MONEY
Korea	LOCATION
Dubai	LOCATION
$ 27.40	IDENTIFIER:MONEY
$ 27.70	IDENTIFIER:MONEY
Gulf	LOCATION
Thursday	TEMPORAL:DATE
$ 27.22	IDENTIFIER:MONEY
three weeks	TEMPORAL:TIME
September	TEMPORAL:DATE
October	TEMPORAL:DATE
$ 24.00	IDENTIFIER:MONEY
$ 24.20	IDENTIFIER:MONEY
Gulf	LOCATION
Thursday	TEMPORAL:DATE
$ 24.10	IDENTIFIER:MONEY
$ 24.24	IDENTIFIER:MONEY
Africa	LOCATION
India	LOCATION
Indians	NATIONALITY
India	LOCATION
October	TEMPORAL:DATE
India	LOCATION
IOC	ORGANIZATION
October	TEMPORAL:DATE
October	TEMPORAL:DATE
September	TEMPORAL:DATE
$ 1	IDENTIFIER:MONEY
September	TEMPORAL:DATE
October	TEMPORAL:DATE
