
Language Region: 0 1539 English
Entity	Type
India	LOCATION
1996-08-28	TEMPORAL:DATE
India	LOCATION
Associated Cement Companies	ORGANIZATION
Wednesday	TEMPORAL:DATE
April	TEMPORAL:DATE
July 1996	TEMPORAL:DATE
a year	TEMPORAL:TIME
ACC Chairman	TITLE
Nani Palkhivala	PERSON
April	TEMPORAL:DATE
a year	TEMPORAL:TIME
Palkhivala	PERSON
Palkhivala	PERSON
Indian	NATIONALITY
Palkhivala	PERSON
Indian	NATIONALITY
ACC	ORGANIZATION
Nepal	LOCATION
Sri Lanka	LOCATION
ACC	ORGANIZATION
ACC	ORGANIZATION
Indian	NATIONALITY
Palkhivala	PERSON
Bombay	LOCATION
