
Language Region: 0 1369 English
Entity	Type
Kurd	NATIONALITY
Iraqi	NATIONALITY
ANKARA	LOCATION
1996-08-28	TEMPORAL:DATE
Iraqi	NATIONALITY
Kurdish	NATIONALITY
Wednesday	TEMPORAL:DATE
Iraq	LOCATION
Kurdish	NATIONALITY
U.S.	LOCATION
Baghdad	LOCATION
Iraqi	NATIONALITY
Kurdish	NATIONALITY
Kurdish	NATIONALITY
Patriotic Union of Kurdistan	ORGANIZATION
PUK	ORGANIZATION
PUK	ORGANIZATION
Iraqi	NATIONALITY
Kurdish	NATIONALITY
President	TITLE
Saddam Hussein	PERSON
PUK	ORGANIZATION
Kurdistan Democratic Party	ORGANIZATION
KDP	ORGANIZATION
PUK	ORGANIZATION
KDP	ORGANIZATION
PUK	ORGANIZATION
Iran	LOCATION
Iraqi	NATIONALITY
Kurdish	NATIONALITY
U.S.	LOCATION
Friday	TEMPORAL:DATE
PUK	ORGANIZATION
United Nations	ORGANIZATION
Iraqi	NATIONALITY
U.S.	LOCATION
French	NATIONALITY
British	NATIONALITY
Iraqi	NATIONALITY
Kurdish	NATIONALITY
Baghdad	LOCATION
Gulf	LOCATION
Turkey	LOCATION
