
Language Region: 0 1045 English
Entity	Type
CME	ORGANIZATION
CHICAGO	LOCATION
1996-08-28	TEMPORAL:DATE
CME	ORGANIZATION
September	TEMPORAL:DATE
Random Lengths	ORGANIZATION
$ 419	IDENTIFIER:MONEY
$ 5	IDENTIFIER:MONEY
Friday	TEMPORAL:DATE
$ 7	IDENTIFIER:MONEY
Edouard	PERSON
$ 2.20	IDENTIFIER:MONEY
$ 0.20	IDENTIFIER:MONEY
September	TEMPORAL:DATE
$ 0.70	IDENTIFIER:MONEY
$ 413.20	IDENTIFIER:MONEY
November	TEMPORAL:DATE
$ 369.00	IDENTIFIER:MONEY
Jerry Bieszk	PERSON
312-408-8725	IDENTIFIER:PHONE_NUMBER
