
Language Region: 0 1185 English
Entity	Type
Sri Lankan	NATIONALITY
COLOMBO	LOCATION
1996-08-29	TEMPORAL:DATE
Tamil Tiger	ORGANIZATION
Sri Lanka	LOCATION
Thursday	TEMPORAL:DATE
Liberation Tigers of Tamil Eelam	ORGANIZATION
LTTE	ORGANIZATION
Kudapokuna	LOCATION
Welikanda	LOCATION
200 km	IDENTIFIER:DISTANCE
125 miles	IDENTIFIER:DISTANCE
Colombo	LOCATION
Tamils	NATIONALITY
Indian Ocean	LOCATION
three days	TEMPORAL:TIME
Tamil Tigers	ORGANIZATION
Tuesday	TEMPORAL:DATE
Vavuniya	LOCATION
Vavuniya	LOCATION
LTTE	ORGANIZATION
