
Language Region: 0 1791 English
Entity	Type
10 DAYS	TEMPORAL:TIME
Adrian Warner	PERSON
1996-08-23	TEMPORAL:DATE
Russia	LOCATION
Svetlana Masterkova	PERSON
10 days	TEMPORAL:TIME
Friday	TEMPORAL:DATE
Zurich	LOCATION
Wednesday	TEMPORAL:DATE
two minutes	TEMPORAL:TIME
28.98 seconds	TEMPORAL:TIME
Brussels	LOCATION
Russian	NATIONALITY
0.36 seconds	TEMPORAL:TIME
2:29.34	ORGANIZATION
Mozambique	LOCATION
Maria Mutola	PERSON
August	TEMPORAL:DATE
Mutola	PERSON
Masterkova	PERSON
Russian	NATIONALITY
$ 25,000	IDENTIFIER:MONEY
Masterkova	PERSON
Atlanta	LOCATION
three-year	TEMPORAL:TIME
first mile	IDENTIFIER:DISTANCE
Zurich	LOCATION
Wednesday	TEMPORAL:DATE
3.05 seconds	TEMPORAL:TIME
four minutes	TEMPORAL:TIME
12.56 seconds	TEMPORAL:TIME
Zurich	LOCATION
Masterkova	PERSON
$ 50,000	IDENTIFIER:MONEY
Friday	TEMPORAL:DATE
Russian	NATIONALITY
$ 100,000	IDENTIFIER:MONEY
Brussels	LOCATION
Atlanta	LOCATION
Masterkova	PERSON
Mutola	PERSON
Russian	NATIONALITY
