
Language Region: 0 501 English
Entity	Type
1996-08-25	TEMPORAL:DATE
Scottish	NATIONALITY
premier	TITLE
Sunday	TEMPORAL:DATE
Aberdeen	LOCATION
3 3 0 0 7 2	IDENTIFIER:LATITUDE_LONGITUDE
Celtic	NATIONALITY
3 2 1 0 9 4	IDENTIFIER:LATITUDE_LONGITUDE
Aberdeen	LOCATION
3 1 2 0 8 4	IDENTIFIER:LATITUDE_LONGITUDE
3 1 2 0 6 3	IDENTIFIER:LATITUDE_LONGITUDE
3 1 1 1 2 2	IDENTIFIER:LATITUDE_LONGITUDE
2 1 0 1 3 6	IDENTIFIER:LATITUDE_LONGITUDE
3 1 0 2 5 7	IDENTIFIER:LATITUDE_LONGITUDE
3 0 1 2 1 3	IDENTIFIER:LATITUDE_LONGITUDE
2 0 1 1 2 5	IDENTIFIER:LATITUDE_LONGITUDE
3 0 0 3 1 8	IDENTIFIER:LATITUDE_LONGITUDE
