
Language Region: 0 1261 English
Entity	Type
SPA	ORGANIZATION
1996-08-25	TEMPORAL:DATE
Michael Schumacher	PERSON
Germany	LOCATION
Ferrari	ORGANIZATION
Belgian	NATIONALITY
Sunday	TEMPORAL:DATE
Canada	LOCATION
Jacques Villeneuve	PERSON
Williams	PERSON
Mika Hakkinen	PERSON
Finland	LOCATION
McLaren	ORGANIZATION
Frenchman	NATIONALITY
Jean Alesi	PERSON
Benetton	ORGANIZATION
Britain	LOCATION
Damon Hill	PERSON
Williams	PERSON
Gerhard Berger	PERSON
Austria	LOCATION
Benetton	ORGANIZATION
Damon Hill	PERSON
Britain	LOCATION
Jacques Villeneuve	PERSON
Canada	LOCATION
Michael Schumacher	PERSON
Germany	LOCATION
Jean Alesi	PERSON
France	LOCATION
Mika Hakkinen	PERSON
Finland	LOCATION
David Coulthard	PERSON
Britain	LOCATION
Gerhard Berger	PERSON
Austria	LOCATION
Olivier Panis	PERSON
France	LOCATION
Rubens Barrichello	PERSON
Brazil	LOCATION
Eddie Irvine	PERSON
Britain	LOCATION
Heinz-Harald Frentzen	PERSON
Germany	LOCATION
Mika Salo	PERSON
Finland	LOCATION
Johnny Herbert	PERSON
Britain	LOCATION
Martin Brundle	PERSON
Britain	LOCATION
Jos Verstappen ( Netherlands	ORGANIZATION
Pedro Diniz	PERSON
Brazil	LOCATION
Williams	PERSON
Benetton	ORGANIZATION
Ferrari	ORGANIZATION
McLaren	ORGANIZATION
Jordan	LOCATION
