
Language Region: 0 1545 English
Entity	Type
Thai	NATIONALITY
Burma	LOCATION
MAE SOT	PERSON
Thailand	LOCATION
1996-08-25	TEMPORAL:DATE
Thai	NATIONALITY
Sunday	TEMPORAL:DATE
Burmese	NATIONALITY
Thailand	LOCATION
Sunday	TEMPORAL:DATE
Democratic Karen Buddhist Army	ORGANIZATION
DKBA	ORGANIZATION
Thai	NATIONALITY
Burma	LOCATION
Mae Sot	ORGANIZATION
Thai	NATIONALITY
commander	TITLE
Col	TITLE
Suvit Maenmuan	PERSON
DKBA	ORGANIZATION
Rangoon	LOCATION
Burma	LOCATION
Suvit	PERSON
DKBA	ORGANIZATION
Rangoon Karen National Union	LOCATION
KNU	ORGANIZATION
Burmese	NATIONALITY
DKBA	ORGANIZATION
Karen	PERSON
Thailand	LOCATION
KNU	ORGANIZATION
Thai	NATIONALITY
Bangkok	LOCATION
Rangoon	LOCATION
Burmese	NATIONALITY
Thai	NATIONALITY
commanders	TITLE
Burmese	NATIONALITY
