
Language Region: 0 1312 English
Entity	Type
Algeria	LOCATION
PARIS	LOCATION
1996-08-24	TEMPORAL:DATE
Algerian	NATIONALITY
Saturday	TEMPORAL:DATE
Algiers	LOCATION
Friday	TEMPORAL:DATE
Algerian	NATIONALITY
Friday	TEMPORAL:DATE
Bou Haroun	PERSON
65 km	IDENTIFIER:DISTANCE
40 miles	IDENTIFIER:DISTANCE
Algiers	LOCATION
25-year	TEMPORAL:TIME
five-year	TEMPORAL:TIME
Algeria	LOCATION
four-year	TEMPORAL:TIME
Human Rights National Observatory	ORGANIZATION
Moslem	RELIGION
two years	TEMPORAL:TIME
Algerians	NATIONALITY
Moslem	RELIGION
Islamists	RELIGION
