
Language Region: 0 2055 English
Entity	Type
OSCE	ORGANIZATION
Bosnian	NATIONALITY
1996-08-27	TEMPORAL:DATE
U.S.	LOCATION
Bosnia	LOCATION
Tuesday	TEMPORAL:DATE
Serbs	NATIONALITY
Ambassador	TITLE
Robert Frowick	PERSON
Organisation for Security	ORGANIZATION
Europe	LOCATION
OSCE	ORGANIZATION
September 14	TEMPORAL:DATE
Bosnian	NATIONALITY
chairman	TITLE
September 14	TEMPORAL:DATE
Frowick	PERSON
OSCE	ORGANIZATION
Serb	NATIONALITY
Serb	NATIONALITY
Moslem	RELIGION
Serbia	LOCATION
Bosnian Serb	NATIONALITY
Serb	NATIONALITY
Dayton	LOCATION
Bosnian Serbs	NATIONALITY
OSCE	ORGANIZATION
Bosnian Serb	NATIONALITY
Bosnian Serb	NATIONALITY
cabinet	ORGANIZATION
OSCE	ORGANIZATION
Monday	TEMPORAL:DATE
Dayton	LOCATION
Serbs	NATIONALITY
Bosnia	LOCATION
Serb	NATIONALITY
September	TEMPORAL:DATE
Bosnia	LOCATION
Dayton	LOCATION
