
Language Region: 0 579 English
Entity	Type
Moroccan	NATIONALITY
King	TITLE
Israel	LOCATION
PM	TITLE
Peres	PERSON
SKHIRAT , Morocco	LOCATION
1996-08-29	TEMPORAL:DATE
King	TITLE
Hassan	PERSON
Morocco	LOCATION
Israeli	NATIONALITY
prime minister	TITLE
Shimon Peres	PERSON
Thursday	TEMPORAL:DATE
Skhirat	LOCATION
20 km	IDENTIFIER:DISTANCE
12 miles	IDENTIFIER:DISTANCE
Rabat	LOCATION
Mr	TITLE
Shimon Peres	PERSON
Morocco	LOCATION
Thursday	TEMPORAL:DATE
King	TITLE
Hassan	PERSON
Skhirat	LOCATION
Peres	PERSON
Morocco	LOCATION
August 25	TEMPORAL:DATE
Peres	PERSON
Friday	TEMPORAL:DATE
