
Language Region: 0 1174 English
Entity	Type
INDICATORS - Hungary	LOCATION
Aug 22	TEMPORAL:DATE
1996-08-22	TEMPORAL:DATE
July	TEMPORAL:DATE
June	TEMPORAL:DATE
PPI	ORGANIZATION
June	TEMPORAL:DATE
June	TEMPORAL:DATE
$ 738 million	IDENTIFIER:MONEY
April	TEMPORAL:DATE
$ 748 million	IDENTIFIER:MONEY
NBH	ORGANIZATION
$ 934 million	IDENTIFIER:MONEY
April	TEMPORAL:DATE
$ 774 million	IDENTIFIER:MONEY
June	TEMPORAL:DATE
$ 1.45	IDENTIFIER:MONEY
$ 1.24	IDENTIFIER:MONEY
$ 27,246.5 million	IDENTIFIER:MONEY
April	TEMPORAL:DATE
$ 28,716.8 million	IDENTIFIER:MONEY
$ 14,390.7 million	IDENTIFIER:MONEY
April	TEMPORAL:DATE
$ 15,704.3 million	IDENTIFIER:MONEY
July	TEMPORAL:DATE
June	TEMPORAL:DATE
HUF	ORGANIZATION
July	TEMPORAL:DATE
June	TEMPORAL:DATE
NBH	ORGANIZATION
Duff & Phelps	ORGANIZATION
IBCA	ORGANIZATION
Thomson BankWatch	ORGANIZATION
S&P	ORGANIZATION
Moody's Investors Service	ORGANIZATION
Japan	LOCATION
NBH	ORGANIZATION
MIT	ORGANIZATION
Budapest	LOCATION
