
Language Region: 0 1090 English
Entity	Type
Estonia	LOCATION
Sept 20	TEMPORAL:DATE
TALLINN	LOCATION
1996-08-28	TEMPORAL:DATE
Estonia	LOCATION
September 20	TEMPORAL:DATE
Baltic	NATIONALITY
Wednesday	TEMPORAL:DATE
parliament	ORGANIZATION
Monday	TEMPORAL:DATE
Tuesday	TEMPORAL:DATE
Lennart Meri	PERSON
Arnold Ruutel	PERSON
Meri	PERSON
a second	TEMPORAL:TIME
Soviet	NATIONALITY
Parliament	ORGANIZATION
Reuters	ORGANIZATION
Speaker	TITLE
Toomas Savi	PERSON
MPs	TITLE
September 20	TEMPORAL:DATE
Meri	PERSON
Ruutel	PERSON
parliament	ORGANIZATION
