
Language Region: 0 1030 English
Entity	Type
Iraqi	NATIONALITY
Kurd	NATIONALITY
ANKARA	LOCATION
1996-08-28	TEMPORAL:DATE
Iraqi	NATIONALITY
Kurdish	NATIONALITY
Wednesday	TEMPORAL:DATE
U.S.	LOCATION
Patriotic Union of Kurdistan	ORGANIZATION
PUK	ORGANIZATION
KDP	ORGANIZATION
Kurdistan Democratic Party	ORGANIZATION
8:00 a.m.	TEMPORAL:TIME
August 28	TEMPORAL:DATE
PUK	ORGANIZATION
PUK	ORGANIZATION
U.S.	LOCATION
Assistant Secretary for Near East Affairs	TITLE
Robert Pelletreau	PERSON
PUK	ORGANIZATION
Jalal Talabani	PERSON
KDP	ORGANIZATION
Massoud Barzani	PERSON
Pelletreau	PERSON
Friday	TEMPORAL:DATE
PUK	ORGANIZATION
Talabani	PERSON
London	LOCATION
PUK	ORGANIZATION
KDP	ORGANIZATION
PUK	ORGANIZATION
KDP	ORGANIZATION
