
Language Region: 0 2207 English
Entity	Type
Japan	LOCATION
TOKYO	LOCATION
1996-08-27	TEMPORAL:DATE
Tuesday	TEMPORAL:DATE
Japan	LOCATION
Sakai	PERSON
Sakai	PERSON
Health Minister	TITLE
Naoto Kan	PERSON
cabinet	ORGANIZATION
Sakai	PERSON
Osaka	LOCATION
Sakai	PERSON
Kan	PERSON
cabinet	ORGANIZATION
Tuesday	TEMPORAL:DATE
August 8	TEMPORAL:DATE
Sakai	PERSON
Sakai	PERSON
September	TEMPORAL:DATE
Sakai	PERSON
ministers	TITLE
Tuesday	TEMPORAL:DATE
cabinet	ORGANIZATION
September	TEMPORAL:DATE
October	TEMPORAL:DATE
Japan	LOCATION
Agriculture Ministry	ORGANIZATION
U.S.	LOCATION
Monday	TEMPORAL:DATE
Sakai	PERSON
