
Language Region: 0 1446 English
Entity	Type
RICHMOND , Va	LOCATION
Co Chairman and Chief Executive	TITLE
Daniel Levy	PERSON
Thursday	TEMPORAL:DATE
$ 34.6 million	IDENTIFIER:MONEY
Reuters	ORGANIZATION
May 4	TEMPORAL:DATE
September	TEMPORAL:DATE
Levy	PERSON
June 1994	TEMPORAL:DATE
2 years	TEMPORAL:TIME
Levy	PERSON
Richmond	LOCATION
$ 95.7 million	IDENTIFIER:MONEY
February 3	TEMPORAL:DATE
Levy	PERSON
July 29 , 1995	TEMPORAL:DATE
$ 7.1 million	IDENTIFIER:MONEY
$ 0.23	IDENTIFIER:MONEY
$ 311.9 million	IDENTIFIER:MONEY
