
Language Region: 0 526 English
Entity	Type
SEOUL	LOCATION
1996-08-26	TEMPORAL:DATE
South Korean	NATIONALITY
Sunday	TEMPORAL:DATE
Puchon 3 Chonan 0	PRODUCT
Pohang 3 Chonbuk 2	PRODUCT
Sunday	TEMPORAL:DATE
2 1 0 4 0 7	IDENTIFIER:LATITUDE_LONGITUDE
2 0 1 9 9 6	IDENTIFIER:LATITUDE_LONGITUDE
1 1 1 8 8 4	IDENTIFIER:LATITUDE_LONGITUDE
1 0 1 6 6 3	IDENTIFIER:LATITUDE_LONGITUDE
0 3 0 5 5 3	IDENTIFIER:LATITUDE_LONGITUDE
0 3 0 3 3 3	IDENTIFIER:LATITUDE_LONGITUDE
0 2 0 3 3 2	IDENTIFIER:LATITUDE_LONGITUDE
0 2 1 4 5 2	IDENTIFIER:LATITUDE_LONGITUDE
0 0 2 2 5 0	IDENTIFIER:LATITUDE_LONGITUDE
