
Language Region: 0 1402 English
Entity	Type
Sudan	LOCATION
London	LOCATION
Stansted	LOCATION
LONDON	LOCATION
1996-08-27	TEMPORAL:DATE
Sudan Airways	ORGANIZATION
London	LOCATION
Stansted airport	LOCATION
Tuesday	TEMPORAL:DATE
Ruth Collin	PERSON
Essex	LOCATION
Stansted	LOCATION
Stansted	LOCATION
London	LOCATION
Heathrow	LOCATION
Gatwick	LOCATION
30 miles	IDENTIFIER:DISTANCE
48 km	IDENTIFIER:DISTANCE
British	NATIONALITY
Stansted	LOCATION
Heathrow	LOCATION
Gatwick	LOCATION
Airbus 310 Flight 150	PRODUCT
4 a.m.	TEMPORAL:TIME
0300 GMT	TEMPORAL:TIME
Britain	LOCATION
Khartoum	LOCATION
Jordanian	NATIONALITY
Amman	LOCATION
Monday	TEMPORAL:DATE
Larnaca airport	LOCATION
Cyprus	LOCATION
English	NATIONALITY
