
Language Region: 0 1304 English
Entity	Type
German	NATIONALITY
July	TEMPORAL:DATE
FRANKFURT	LOCATION
1996-08-22	TEMPORAL:DATE
German	NATIONALITY
July	TEMPORAL:DATE
Federal	ORGANIZATION
Thursday	TEMPORAL:DATE
July 1996	TEMPORAL:DATE
July 1995	TEMPORAL:DATE
Germans	NATIONALITY
German	NATIONALITY
German	NATIONALITY
Volkswagen AG	ORGANIZATION
Opel AG	ORGANIZATION
General Motors	ORGANIZATION
Ford	ORGANIZATION
Porsche	ORGANIZATION
July 1996	TEMPORAL:DATE
July	TEMPORAL:DATE
July	TEMPORAL:DATE
a year	TEMPORAL:TIME
Porsche	ORGANIZATION
