
Language Region: 0 2687 English
Entity	Type
French	NATIONALITY
PARIS	LOCATION
1996-08-27	TEMPORAL:DATE
French	NATIONALITY
Wall Street	LOCATION
CAC-40	ORGANIZATION
New York	LOCATION
SBF-120	ORGANIZATION
August	TEMPORAL:DATE
CAC-40	ORGANIZATION
Socialist CFDT	ORGANIZATION
France	LOCATION
nine months	TEMPORAL:TIME
September	TEMPORAL:DATE
Monday	TEMPORAL:DATE
European	NATIONALITY
Elf	ORGANIZATION
Rhone Poulenc	PRODUCT
Eurotunnel	ORGANIZATION
UIC	ORGANIZATION
GAN	ORGANIZATION
Monday	TEMPORAL:DATE
Carrefour	ORGANIZATION
Cheuvreux de Virieu	ORGANIZATION
fund manager	TITLE
Scor	ORGANIZATION
British	NATIONALITY
Prudential	ORGANIZATION
Mercantile & General	ORGANIZATION
Swiss Re	ORGANIZATION
Conglomerate Bollore	PERSON
a morning	TEMPORAL:TIME
Alcatel Alsthom	ORGANIZATION
Essilor	ORGANIZATION
Oakley Inc	PERSON
United States	LOCATION
Gentext Optics Inc	ORGANIZATION
Essilor International	ORGANIZATION
Paris	LOCATION
+331 4221 5452	IDENTIFIER:PHONE_NUMBER
