
Language Region: 0 1832 English
Entity	Type
Indian	NATIONALITY
INDORE , India	LOCATION
1996-08-27	TEMPORAL:DATE
Indian	NATIONALITY
Tuesday	TEMPORAL:DATE
They	PERSON
India	LOCATION
Wednesday	TEMPORAL:DATE
$ 276	IDENTIFIER:MONEY
$ 246	IDENTIFIER:MONEY
$ 115	IDENTIFIER:MONEY
FOR Bedibunder	PERSON
Bhavnagar	LOCATION
Dewas 45 Yellow	PRODUCT
Mandsaur	LOCATION
Neemuch	LOCATION
n.a Yellow - - Mhow 2 Yellow	PRODUCT
Ratlam	LOCATION
Indore	LOCATION
Dhar 5 Yellow	PRODUCT
Ujjain	LOCATION
Bombay	LOCATION
FOR Bedi Bunder	PERSON
$ 1	IDENTIFIER:MONEY
