
Language Region: 0 1188 English
Entity	Type
Venezuela	LOCATION
July	TEMPORAL:DATE
CARACAS	LOCATION
1996-08-29	TEMPORAL:DATE
Venezuela	LOCATION
July	TEMPORAL:DATE
$ 334 million	IDENTIFIER:MONEY
$ 302 million	IDENTIFIER:MONEY
June	TEMPORAL:DATE
Central Office of Statistics	ORGANIZATION
OCEI	ORGANIZATION
OCEI	ORGANIZATION
April 22	TEMPORAL:DATE
IMF	ORGANIZATION
first seven months	TEMPORAL:TIME
$ 2.240 billion	IDENTIFIER:MONEY
$ 2.693 billion	IDENTIFIER:MONEY
seven months	TEMPORAL:TIME
$ 951 million	IDENTIFIER:MONEY
Colombia	LOCATION
chief market	TITLE
Venezuela	LOCATION
U.S.	LOCATION
Caracas	LOCATION
