
Language Region: 0 761 English
Entity	Type
Marion County Board of Education	ORGANIZATION
AMT	ORGANIZATION
09/04/96	TEMPORAL:DATE
NYC	LOCATION
Marion County Board of Education	ORGANIZATION
ULT M / SP	ORGANIZATION
F : NA / NA	PERSON
NA BOOK	PERSON
09/01/96	TEMPORAL:DATE
5/1/98	TEMPORAL:DATE
05/01/97	TEMPORAL:DATE
9/17/96	TEMPORAL:DATE
WesBanco Bank Fairmont	ORGANIZATION
Steptoe & Johnson	ORGANIZATION
Clarksburg	LOCATION
Ferris	PERSON
Baker Watts , Inc.	ORGANIZATION
Charleston	LOCATION
$ 7,330,000	IDENTIFIER:MONEY
MBIA	ORGANIZATION
3/1/90	TEMPORAL:DATE
