
Language Region: 0 1492 English
Entity	Type
Dutch	NATIONALITY
PTT	ORGANIZATION
1996-08-23	TEMPORAL:DATE
Dutch	NATIONALITY
Koninklijke	ORGANIZATION
PTT Nederland NV	ORGANIZATION
Dutch	NATIONALITY
PTT	ORGANIZATION
Friday	TEMPORAL:DATE
PTT	ORGANIZATION
first six months	TEMPORAL:TIME
Peter Roe	PERSON
Paribas	ORGANIZATION
London	LOCATION
ING	ORGANIZATION
analyst	TITLE
Steven Vrolijk	PERSON
Roe	LOCATION
Dutch	NATIONALITY
Roe	LOCATION
Dutch	NATIONALITY
PTT	ORGANIZATION
Friday	TEMPORAL:DATE
1403 GMT	TEMPORAL:TIME
Amsterdam	LOCATION
Keiron Henderson	PERSON
Amsterdam	LOCATION
+31 20 504 5000	IDENTIFIER:PHONE_NUMBER
