
Language Region: 0 1422 English
Entity	Type
U.S.	LOCATION
Iraqi	NATIONALITY
Kurds	NATIONALITY
WASHINGTON	LOCATION
1996-08-23	TEMPORAL:DATE
Iraq	LOCATION
Kurdish	NATIONALITY
Friday	TEMPORAL:DATE
six days	TEMPORAL:TIME
U.S.	LOCATION
State Department	ORGANIZATION
Glyn Davies	PERSON
U.S.	LOCATION
Massoud Barzani	PERSON
Kurdistan Democratic Party	ORGANIZATION
KDP	ORGANIZATION
Jalal Talabani	PERSON
Patriotic Union of Kurdistan	ORGANIZATION
PUK	ORGANIZATION
Davies	PERSON
August 17	TEMPORAL:DATE
United States	LOCATION
U.S.	LOCATION
Assistant Secretary	TITLE
Robert Pelletreau	PERSON
September	TEMPORAL:DATE
Davies	PERSON
United States	LOCATION
Kurdish	NATIONALITY
London	LOCATION
KDP	ORGANIZATION
Thursday	TEMPORAL:DATE
PUK	ORGANIZATION
U.S.	LOCATION
Kurdish	NATIONALITY
Iraq	LOCATION
President	TITLE
Saddam Hussein	PERSON
