
Language Region: 0 1044 English
Entity	Type
Finnish	NATIONALITY
April	TEMPORAL:DATE
NCB	ORGANIZATION
HELSINKI	LOCATION
1996-08-22	TEMPORAL:DATE
Finland	LOCATION
April	TEMPORAL:DATE
National Customs Board	ORGANIZATION
NCB	ORGANIZATION
Thursday	TEMPORAL:DATE
April	TEMPORAL:DATE
NCB	ORGANIZATION
April	TEMPORAL:DATE
April	TEMPORAL:DATE
April	TEMPORAL:DATE
January	TEMPORAL:DATE
April 1995	TEMPORAL:DATE
Bank of Finland	ORGANIZATION
April	TEMPORAL:DATE
NCB	ORGANIZATION
Finland	LOCATION
European Union	LOCATION
Helsinki	LOCATION
