
Language Region: 0 1875 English
Entity	Type
Clinton	PERSON
Dole	PERSON
CHICAGO	LOCATION
1996-08-27	TEMPORAL:DATE
ABC News	ORGANIZATION
Tuesday	TEMPORAL:DATE
President	TITLE
Bill Clinton	PERSON
Republican	ORGANIZATION
Bob Dole	PERSON
Nov. 5	TEMPORAL:DATE
Sunday	TEMPORAL:DATE
Monday	TEMPORAL:DATE
president	TITLE
Democratic Convention	ORGANIZATION
Chicago	LOCATION
Clinton	PERSON
Dole	PERSON
Ross Perot	PERSON
Reform Party	ORGANIZATION
Saturday	TEMPORAL:DATE
Sunday	TEMPORAL:DATE
Clinton	PERSON
Dole	PERSON
August	TEMPORAL:DATE
ABC	ORGANIZATION
Republican	ORGANIZATION
San Diego	LOCATION
August	TEMPORAL:DATE
Dole	PERSON
San Diego	LOCATION
Clinton	PERSON
Tuesday	TEMPORAL:DATE
ABC	ORGANIZATION
president	TITLE
Clinton	PERSON
Dole	PERSON
Perot	PERSON
Democrats	ORGANIZATION
House of Representatives	ORGANIZATION
Democrat	ORGANIZATION
Republican	ORGANIZATION
Democrats	ORGANIZATION
Clinton	PERSON
Dole	PERSON
Perot	PERSON
Dole	PERSON
