
Language Region: 0 1028 English
Entity	Type
Belgium	LOCATION
$ 6.5	IDENTIFIER:MONEY
India	LOCATION
1996-08-28	TEMPORAL:DATE
Belgium	LOCATION
Kredietbank	ORGANIZATION
$ 6.5 million	IDENTIFIER:MONEY
India	LOCATION
Welspun Stahl Rohren Ltd	ORGANIZATION
Indian	NATIONALITY
Wednesday	TEMPORAL:DATE
LIBOR	ORGANIZATION
six years	TEMPORAL:TIME
Indusind Bank	ORGANIZATION
$ 3.5 million	IDENTIFIER:MONEY
UTI Bank	ORGANIZATION
$ 3 million	IDENTIFIER:MONEY
Indian	NATIONALITY
Gujarat	LOCATION
September 1997	TEMPORAL:DATE
September 1996	TEMPORAL:DATE
Welspun	ORGANIZATION
Bombay	LOCATION
