
Language Region: 0 688 English
Entity	Type
Softbank	ORGANIZATION
$ 900	IDENTIFIER:MONEY
Sept 5	TEMPORAL:DATE
TOKYO	LOCATION
1996-08-23	TEMPORAL:DATE
Softbank Corp	ORGANIZATION
Friday	TEMPORAL:DATE
$ 900 million	IDENTIFIER:MONEY
September 5	TEMPORAL:DATE
U.S.	LOCATION
Kingston Technology Co	ORGANIZATION
Kingston	LOCATION
$ 900 million	IDENTIFIER:MONEY
September 5	TEMPORAL:DATE
Softbank	ORGANIZATION
August 15	TEMPORAL:DATE
Softbank	ORGANIZATION
Kingston	LOCATION
$ 1.5 billion	IDENTIFIER:MONEY
United States	LOCATION
