
Language Region: 0 967 English
Entity	Type
Orthodox	RELIGION
Croatia	LOCATION
1996-08-23	TEMPORAL:DATE
Serb	NATIONALITY
Croatia	LOCATION
Friday	TEMPORAL:DATE
Hina	PERSON
HINA	ORGANIZATION
Karin Gornji	PERSON
30 km	IDENTIFIER:DISTANCE
19 miles	IDENTIFIER:DISTANCE
Zadar	LOCATION
Zadar	LOCATION
HINA	ORGANIZATION
Zadar	LOCATION
Serbs	NATIONALITY
Croatia	LOCATION
Yugoslav	NATIONALITY
Krajina	LOCATION
Serbs	NATIONALITY
Croatian	NATIONALITY
Serbs	NATIONALITY
Bosnia	LOCATION
Yugoslavia	LOCATION
Krajina	LOCATION
