
Language Region: 0 1209 English
Entity	Type
Thai	NATIONALITY
Hong Kong	LOCATION
HONG KONG	LOCATION
1996-08-29	TEMPORAL:DATE
Thai	NATIONALITY
Hong Kong	LOCATION
Hong Kong	LOCATION
Thursday	TEMPORAL:DATE
British	NATIONALITY
Independent Commission Against Corruption	ORGANIZATION
ICAC	ORGANIZATION
Tuesday	TEMPORAL:DATE
ICAC	ORGANIZATION
Thai	NATIONALITY
Hong Kong	LOCATION
Thai	NATIONALITY
ICAC	ORGANIZATION
HK	LOCATION
$ 100,000	IDENTIFIER:MONEY
US	LOCATION
$ 12,940	IDENTIFIER:MONEY
Thai	NATIONALITY
ICAC	ORGANIZATION
ICAC	ORGANIZATION
HK	LOCATION
$ 100,000	IDENTIFIER:MONEY
ICAC	ORGANIZATION
U.S.	LOCATION
Honduran	NATIONALITY
Chinese	NATIONALITY
