
Language Region: 0 1536 English
Entity	Type
Australian	NATIONALITY
PERTH , Australia	LOCATION
1996-08-27	TEMPORAL:DATE
Australian	NATIONALITY
Tuesday	TEMPORAL:DATE
Denham Peiris	PERSON
$ 100	IDENTIFIER:MONEY
US	LOCATION
$ 79	IDENTIFIER:MONEY
Indian	NATIONALITY
$ 14,000	IDENTIFIER:MONEY
Peiris	PERSON
Perth	LOCATION
Australian	NATIONALITY
two years	TEMPORAL:TIME
$ 28,000	IDENTIFIER:MONEY
Shane Drew	PERSON
Drew	PERSON
Drew	PERSON
Drew	PERSON
Peiris	PERSON
six months	TEMPORAL:TIME
six months	TEMPORAL:TIME
Drew	PERSON
