
Language Region: 0 1474 English
Entity	Type
Italian	NATIONALITY
VERONA , Italy	LOCATION
1996-08-24	TEMPORAL:DATE
Italian	NATIONALITY
Italian	NATIONALITY
ANSA	ORGANIZATION
Saturday	TEMPORAL:DATE
Gianfranco Stevanin	PERSON
35-year	TEMPORAL:TIME
Friday	TEMPORAL:DATE
Verona	LOCATION
ANSA	ORGANIZATION
Stevanin	PERSON
Stevanin	PERSON
three years	TEMPORAL:TIME
Austrian	NATIONALITY
Verona	LOCATION
July	TEMPORAL:DATE
December 1995	TEMPORAL:DATE
Lawyer	TITLE
Cesare dal Maso	PERSON
ANSA	ORGANIZATION
Stevanin	PERSON
Adige river	LOCATION
Dal Maso	PERSON
Stevanin	PERSON
Stevanin	PERSON
